claim,label
"En tu trabajo, ®UDS. tienen acceso al detalle de los fallecidos en cada turno?Por inoformaci¢n del propio wn, sabemos que solo est†n muriendo por #Covid_19 excepto los accidentados""",uncertain
COVID-19: un nuevo estudio apunta al pangol°n como el animal que contagi¢ a los humanos,uncertain
Todav°a  debemos seguir las medidas de prevenci¢n para el Covid 19,uncertain
Un mÇdico se recupera de COVID-19 luego de dar positivo a 3 pruebas; donar† su plasma en Coahuila,uncertain
Si queremos mejorar en la lucha contra el Covid-19 es fundamental ser capaces autocr°ticarnos y al menos escuchar la ajena,uncertain
El covid-19 muto ahora es uribista,uncertain
Personal mÇdico espa§ol que atiende COVID-19 gana el Princesa de Austrias de la Concordia 2020,uncertain
#Covid_19 no es ciencia ficci¢n sino que causa enfermedad y muerte. Aplicaci¢n de los protocolos y la apertura gradual o el endurecimiento de las medidas dependen de las condiciones de propagaci¢n del virus,uncertain
La uni¢n de mÇdicos farmacÇuticos y enfermeros ha demostrado ser el mejor ant°doto frente al COVID-19,uncertain
TVN estrena nuevo docurreality enfocado en la labor del personal mÇdico contra elˇCOVID-19,uncertain
Adultos mayores reciben asistencia mÇdica integral por el COVID-19,uncertain
PÇrdida de empleos por pandemia de COVID-19 se desaceler¢ en mayo asegura L¢pez Obrador,uncertain
La directora de la Organizaci¢n Panamericana de la Salud (OPS) Carissa Etienne inform¢ el martes que LatinoamÇrica est† cerca de alcanzar los tres millones de casos confirmados de coronavirus,uncertain
Los sanitarios en primera l°nea contra la covid-19 premio Princesa de Asturias de la Concordia,uncertain
Como parte de las medidas de prevenci¢n contra el Covid-19 estamos intensificando la limpieza de los 10 mil contenedores que tenemos en la ciudad.Las tareas incluyen la desinfecci¢n y el lavado de la superficie exterior y el entorno,uncertain
La Superintendencia de Pensiones realiza aporte al Hospital Dr. µngel Contreras Mej°a de Monte Plata para combatir el Covid-19 en ese municipio,uncertain
A todos los pacientes que lleguen con s°ntomas sospechosos de Covid en hospitales se les har† una toma de muestra para examen que determinar† si est† contagiado o no,uncertain
No se le desea la muerte se le desea que le de Covid-19 lo que pase despuÇs es su flatulencia,uncertain
Samuel Garc°a pide que Nuevo Le¢n detalle gasto millonario en COVID-19,uncertain
En las £ltimas 24 horas hubo 14 muertes por COVID-19 en la Argentina y el total de v°ctimas fatales lleg¢ a 570. Hay m†s de 18 mil infectados en todo el pa°s,uncertain
Mantienen y refuerzan control preventivo en accesos de Coronel para prevenir propagaci¢n del covid-19 ,uncertain
A 1 a§o del Plan de Descarbonizaci¢n ®c¢mo influye la crisis econ¢mica por COVID-19?,uncertain
Si van a apoyar la manifestaciones por lo menos que digan como protegerse en ellas,uncertain
Fue eemasiado leve el covid 19 espero q el pr¢ximo aniquile las 3/4 partes del planeta,uncertain
Hasta del covid-19 se olvidaron que predecibles somos como sociedad... por eso nos manejan como quieren,uncertain
Las #aerol°neas rechazan liberar el asiento entre dos pasajeros porque sostienen que el #contagio en #avi¢n es raro que se produzca,uncertain
Los dineros se van a los medios en publicidad del Covid 19  2 billones con B larga de pesos,uncertain
Quien no tenga necesidad d salir.. que no salgan para nada. Se inicia el pico y puede pararse todo d vuelta,uncertain
Ustedes quÇ opinan acerca del gobierno de la 4T contra el COVID-19,uncertain
Habitantes de la localidad de Kennedy han protestado por falta de alimentos.Varios ciudadanos se manifestaron en las calles pidiendo ayudas de la Alcald°a.Este sector de Bogot† continuar°a cerrado hasta el 15 de junio debido a los brotes de COVID-19,uncertain
Es el reconocimiento a los profesionales sanitarios que se han jugado la vida por los pacientes de COVID-19 dejando por el camino mucho sufrimiento y vidas,uncertain
En que quedamos?Es buena o es que el virus no ha sido lo suficientemente letal?La OMS reanudar† sus pruebas con hidroxicloroquina para encontrar una vacuna contra el covid-19,uncertain
Se dispara pandemia en la Regi¢n del Maule con 214 nuevos casos de Covid-19 en un d°a,uncertain
El peque§o comercio dispara el uso de aplicaciones de pago por m¢vil a ra°z del COVID-19,uncertain
La D.C.E.V.P  Suma esfuerzos y transmite audio de que nos encontramos en Sem†foro Rojo deribado de la Pandemia del Virus COVID-19,uncertain
Por ning£n motivo bajes la guardia ante el COVID-19 recuerda seguir las medidas sanitarias hazlo por tus hijos por tus hermanos por tus padres y abuelos no salgas de tu hogar,uncertain
Las tendencias frente a la nueva realidad post #Covid_19 ponen a la bicicleta en un lugar privilegiado,uncertain
Consum instala sem†foros en sus tiendas 'La cooperativa invierte 25 millones de euros en un sistema de control de aforo',uncertain
MantÇn las medidas b†sicas de higiene y por favor,uncertain
No recibimos nada ni el bono COVID-19.A quien ayudan realmente??Esa es mi pregunta,uncertain
Compartimos la entrevista a Cora Arias investigadora del CITRA sobre el Monitor Laboral de Covid-19 que est† desarrollando el citrainv,uncertain
Alguien sabe si ya se est† organizando algo?? O hay que empezar ya con los preparativos ??,uncertain
El turismo post COVID-19 y las razones para preocuparse,uncertain
La diputada mariajocc14 indic¢ que si antes de la pandemia del COVID-19 era necesaria esta legislaci¢n en el contexto actual es m†s relevante su aprobaci¢n.,uncertain
PorquÇ el Estado no previ¢ la escasez de este vital elemento para salvar vidas no se puede construir plantas port†tiles a la brevedad?,uncertain
Son personal de lavander°a limpieza cocina y mantenimiento que arriesgan su vida en la primera l°nea de batalla pero cuya labor pasa desapercibida,uncertain
Ya perdonaron a los Chinos o todav°a los odian? ,uncertain
Atenci¢n se acaba el plazo para cambiar domicilio electoral para votar en plebiscito de octubre. Esta Pandemia Covid_19 hace m†s urgente una NuevaConstitucion para garantizar derechos sociales,uncertain
Gobierno y oposici¢n firman acuerdo para combatir covid-19,uncertain
OMS dice que segunda ola de covid-19 se puede evitar,uncertain
Entramos al Hospital Ju†rez de MÇxico zona cero de COVID-19 en el pa°s para hablar con los hÇroes invisibles.,uncertain
El £ltimo afectado por covid-19 en el hospital comarcal de O Barco de Valdeorras se march¢ este martes a primera hora de la tarde,uncertain
M†s tests se suman durante este junio,uncertain
Pedro S†nchez cabalga sobre las v°ctimas del COVID19 Lo digo alto y claro viva el 8M,uncertain
Estamos llevando a cabo con mucho cuidado la Nueva Normalidad etapa en el control de la epidemia de COVID-19. No hemos abierto todas las actividades productivas ni de recreaci¢n. ,uncertain
Cient°fico sueco reconoce errores en lucha contra COVID-19,uncertain
PSPV PP Comprom°s Cs y Vox consensuan en Torrent un gran acuerdo municipal para luchar juntos contra el COVID-19,uncertain
Lo quÇ se necesita es comida remedios toma de decisiones del covid 19 que sean reales. Ya que parece quÇ el ministro de salud juega todos los d°as con nosotros.,uncertain
El regidor de reglamentos del municipio de Santa Lucia Del Camino  Antonio Pacheco Ram°rez muri¢ hace unos momentos a causa de COVID19,uncertain
500 ramos fueron entregados en las instalaciones de Atesa de Occidente a hombres y mujeres que con su labor de limpieza en las zonas p£blicas de la ciudad,uncertain
Luego de seis meses de lucha contra el coronavirus y tras haber hecho muchos estudios sobre el virus en el mundo recopilamos toda la informaci¢n,uncertain
En Antioquia se procesar†n las muestras de COVID19 represadas en Tumaco Nari§o una de las zonas del pa°s con m†s casos del virus,uncertain
El Futbolista malague§o Alexis Ruano  AlexisRuano8 se une a nuestra campa§a solidaria para ayudar a las familias vulnerables afectadas por la crisis sanitaria provocada por el Covid19.,uncertain
Ahcaray En quÇ momento nos aumentaron el pasaje en el EDOMEX?,uncertain
La Covid19 sigue cogiendo fuerza mientras le demos la oportunidad. Eventos de supercontagiadores en ambientes interiores golpean ahora mismo nuestra realidad,uncertain
Orgulloso joven calixte§o de ofrecer su contribuci¢n al enfrentamiento de la Covid 19 ,uncertain
Excelente webinar sobre el branding post Covid19 con marioriorda junto mariajoseCANEL organizado por EPCaustral,uncertain
