claim,label
Los ciudadanos procedentes de Wuhan inician la cuarentena en el Hospital Gómez Ulla,real
España cumple con las recomendaciones internacionales que hace la Organización Mundial de la Salud,real
El Ministerio de Sanidad despliega un dispositivo específico para la llegada de los repatriados españoles procedentes de Wuhan,real
"El ministro de Sanidad, Salvador Illa, informa al Consejo de Ministros de la situación tras el brote de coronavirus originado en China",real
El Gobierno subraya la fiabilidad de los sistemas de detección para hacer frente al coronavirus,real
Actualización sobre la situación en España del coronavirus,real
El Ministerio de Sanidad elabora un protocolo de actuación frente al coronavirus,real
Salvador Illa destaca el papel del servicio de Sanidad Exterior para evitar riesgos en la salud pública,real
Los cinco españoles procedentes de Wuhan inician la cuarentena en el Hospital Central de la Defensa Gómez Ulla,real
El Ministerio de Sanidad y las CCAA acuerdan incrementar la sensibilidad del sistema para la detección precoz del coronavirus,real
Illa anuncia la convocatoria de un Consejo Interterritorial del SNS extraordinario para coordinar medidas con las CCAA,real
España apuesta por fortalecer la cooperación y coordinación en la UE para garantizar la protección de la salud pública,real
Salvador Illa asegura que se están tomando las medidas de salud pública necesarias para hacer frente al coronavirus,real
Salvador Illa informa al Consejo de Ministros de la situación del coronavirus en España,real
El Ministerio de Sanidad mantiene un contacto constante con las autoridades de Baleares tras detectarse un caso de coronavirus en Mallorca,real
El Gobierno acuerda la creación del Comité de Coordinación Interministerial ante la amenaza para la Salud Pública producida por el coronavirus,real
Sanidad y las CCAA valoran positivamente la coordinación y la respuesta del Sistema Nacional de Salud frente al coronavirus,real
El Ministerio de Sanidad mantiene los protocolos de actuación frente al coronavirus,real
El  paciente con diagnóstico de coronavirus en La Gomera evoluciona sin síntomas,real
Salvador Illa anuncia la convocatoria de un Consejo Interterritorial para abordar la situación del coronavirus,real
El Gobierno aprueba el reparto de 300 millones de euros a las CCAA para dar respuesta a las acciones más urgentes contra el COVID-19,real
El Ministerio de Sanidad y el Consejo General de Psicólogos activan un teléfono de apoyo para la población afectada por la COVID-19,real
El Centro Nacional de Microbiología realiza la secuenciación completa del SARS-CoV2 en muestras de pacientes de distintas partes de España,real
El Ministerio de Sanidad prohíbe los velatorios y restringe las ceremonias fúnebres para limitar la propagación y el contagio por el COVID-19,real
El Gobierno reparte más de 20 millones de unidades de material entre Comunidades,real
El Ministerio de Sanidad amplía las medidas para el refuerzo de personal sanitario,real
Los dos primeros ensayos sobre COVID-19 financiados por el Instituto de Salud Carlos III investigan terapia precoz en combinación y plasma de pacientes recuperados,real
El Gobierno impulsa la contratación de cerca de 200 profesionales extranjeros en situación regular del sector sanitario ante la crisis del Covid-19,real
Comparecencia sobre las actuaciones desarrolladas por el Ministerio de Sanidad en relación con el coronavirus,real
"El Gobierno ha distribuido a las comunidades 6,7 millones de mascarillas desde el 10 de marzo",real
PCR y test rápidos para el diagnóstico del coronavirus ¿cómo funcionan y en qué se diferencian?,real
El Ministerio de Sanidad ha repartido este fin de semana 1.602.800 de mascarillas entre las Comunidades Autónomas,real
Se constituye oficialmente el Comité Científico Técnico COVID-19,real
Duque afirma que las investigaciones españolas frente a la COVID-19 son competitivas y aportarán resultados,real
El Ministerio de Sanidad autoriza ensayos clínicos con una nueva molécula en los que participarán ocho hospitales,real
El Ministerio de Sanidad dota de medios humanos y profesionales al SNS para combatir y tratar de contener el COVID-19,real
El Ministerio de Sanidad trabaja en un proyecto avanzado para realizar test rápidos de diagnóstico del COVID-19,real
El Ministerio de Sanidad ha iniciado esta semana el reparto a las CCAA de más de un millón de mascarillas,real
La AEMPS establece medidas excepcionales para los ensayos clínicos ante la situación sanitaria provocada por el coronavirus,real
La AEMPS está trabajando en diferentes vías de investigación clínica para el tratamiento del COVID-19,real
"El Gobierno prohíbe el corte de suministro de agua, electricidad y gas natural a consumidores vulnerables durante un mes prorrogable",real
Restablecidos los controles en las fronteras terrestres en el marco de las medidas de contención del COVID-19,real
El Gobierno de España lanza la campaña #EsteVirusLoParamosUnidos para aunar el esfuerzo de todo el país en la lucha contra el coronavirus e incentivar las medidas de distanciamiento social,real
El Ministerio de Sanidad establece medidas para el refuerzo de personal sanitario y el suministro de material,real
El Gobierno lanza la campaña Este virus lo paramos unidos para incentivar las medidas de distanciamiento social frente al coronavirus,real
El Consejo Interterritorial del SNS acuerda implementar las medidas de distanciamiento educativo y social a toda España,real
El Gobierno moviliza 18.225 millones de euros en un plan de medidas económicas para mitigar el impacto del COVID-19,real
El Gobierno anuncia nuevas medidas para evitar la extensión del nuevo coronavirus COVID-19,real
El Consejo Interterritorial del SNS acuerda medidas concretas para zonas con transmisión comunitaria significativa de coronavirus,real
Illa insta a la UE a garantizar la coherencia y consistencia de las medidas adoptadas por los Estados miembros frente al coronavirus,real
Dados de alta los repatriados procedentes de Wuhan que permanecían en el Hospital Gómez Ulla,real
El Ministerio de Sanidad y las CCAA recomiendan celebrar a puerta cerrada las competiciones deportivas masivas con equipos de zonas de riesgo,real
Comparecencia para actualizar la información sobre la situación y las medidas adoptadas en relación al COVID-19,real
El Ministerio de Sanidad regula las salidas para paseos y actividad física a partir del sábado según horarios y edades,real
El Consejo de Ministros aprueba el Plan de Transición hacia una Nueva Normalidad,real
La OCDE sitúa a España en el octavo puesto de los países con más test de COVID-19 realizados,real
Comienza hoy el estudio de seroprevalencia que estimará el porcentaje de población española que ha desarrollado anticuerpos frente al COVID-19,real
El ministro de Sanidad y el director del CCAES entregan al presidente del Gobierno el informe técnico para la estrategia de transición,real
El BOE publica hoy la Orden que regula las condiciones para los desplazamientos de la población infantil,real
El Gobierno distribuye más de 750.000 test rápidos de detección de anticuerpos entre las CCAA,real
Comparecencia para actualizar la información sobre la situación y las medidas adoptadas en relación al COVID-19,real
"Salvador IIla: ""La salida de los menores a partir del domingo es también una medida de equidad""",real
EL BOE publica el precio máximo de venta al público de las mascarillas quirúrgicas y los geles y las soluciones hidroalcohólicas,real
El estudio de seroprevalencia que ultiman el Ministerio de Sanidad y el ISCIII contará con la colaboración y apoyo de las CCAA,real
La Comisión Interministerial de Precios acuerda un precio máximo de venta al público de las mascarillas quirúrgicas de 0.96 euros,real
El ministro de Sanidad informa en Consejo de Ministros de los contratos de emergencia realizados para el refuerzo de suministro de material sanitario,real
El Gobierno reparte 53 millones de mascarillas entre las Comunidades Autónomas,real
El Ministerio de Sanidad denuncia ante la red social Facebook actividad fraudulenta en su cuenta oficial,real
Aterriza en la base de Torrejón un A400M con dos millones de mascarillas quirúrgicas,real
El Gobierno establece medidas excepcionales para que la ciudadanía acceda de forma informada y en condiciones económicas no abusivas a los productos higiénicos de prevención frente al COVID-19,real
El Ministerio de Sanidad adapta el procedimiento de notificación de datos para asegurar la eficiencia en la gestión,real
"Salvador Illa: ""Desde el inicio de la crisis se han realizado en España 930.230 pruebas diagnósticas PCR""",real
COMPARECENCIA PARA ACTUALIZAR LA INFORMACIÓN SOBRE LA SITUACIÓN Y LAS MEDIDAS ADOPTADAS EN RELACIÓN AL COVID-19,real
El Ministerio de Sanidad establece el inicio de plazos para realizar las evaluaciones y la fecha final de residencia o de año formativo de los profesionales sanitarios,real
"El Gobierno reparte un nuevo lote de 3,6 millones de mascarillas entre las Comunidades",real
El Gobierno prosigue el reparto de mascarillas ante la reanudación de actividades no esenciales,real
El Ministerio de Sanidad pone a disposición de las CCAA los laboratorios públicos y privados de diagnóstico clínico,real
