claim,label
"Escribiendo el titular de otra forma, se entiende mejor, ¿verdad?: ""Torra se niega a firmar el documento de coordinación frente al coronavirus entre el estado central y las comunidades autónomas"".
https://t.co/mcJF2JzJj6",real
"#FamaDD Heidi Klum cree que puede tener coronavirus, pero no ha podido hacerse la prueba https://t.co/ZhZnBaX1Qx",fake
Cancelan actividades culturales en el país por coronavirus Covid-19 https://t.co/KOLEBeua1m https://t.co/QmV2Ecbbmn,fake
"El interferón, según el Dr. Luis Herrera, fue la inspiración de la biotecnología cubana. La visión de #Fidel convirtió este producto en la palanca y alrededor del mismo creó las bases para el desarrollo intensivo de la ingeniería genética en #Cuba | #CubaPorLaSalud https://t.co/QdfjYG2d5a",fake
¿América sale beneficiado o perjudicado? 🤔🧐https://t.co/JNlmJBY8U7,fake
"Soy biólogo ucevista, con especialización en microbiología. Estaré encantado de responder cualquier pregunta sobre el coronavirus o ayudarlos a encontrar a otro experto que sepa más que yo (hay muchos).

#CoronavirusEnVenezuela
#ComunicaCiencia",real
"""Se subió al vuelo LAN239 sin saber que el examen que se había hecho horas antes en una clínica santiaguina había dado positivo""
Se necesita responsabilidad y cooperación de todos. Una sola persona puede dejar la embarrada. https://t.co/8nU3h2qQk3",fake
"#PorSiTeLoPerdiste 🔎 | Suben a 41 los casos de coronavirus en México

Más info aquí ➡ https://t.co/WwM5qgjMJ4 https://t.co/Mh3TMs1TD6",fake
En #Cancún estamos siguiendo todas las medidas de prevención que marca el protocolo internacional para evitar el contagio del #COVID19. Los invito a estar pendientes de la información oficial y a no bajar la guardia. Vamos de la mano todos los niveles de gobierno. https://t.co/2J6lGkCxw4,real
#Argentina cerraron las fronteras por 15 días. Quedamos atrapados entre el #coronavirus y el populismo✌️.,fake
PREGUNTAS Y RESPUESTAS | Qué se puede hacer y qué no en España tras las restricciones por el coronavirus https://t.co/3sBCrCzJpw https://t.co/CdpYlnJegR,real
"CHINA TIENE QUE PAGAR por los daños en vidas y economicos APOCALIPTICOS que ocasionaron con el #COVIDー19 
El MUNDO no debe dejar pasar la irresponsabilidad de los regimenes totalitarios porque dejandolos impunes JODEN AL MUNDO ENTERO! o no?",fake
"¿Qué medidas se están tomando para reducir el impacto del coronavirus?
¡Sintoniza #ConCriterioTV a las 9PM por 📺@Guatevision_tv o 🌐 vía streaming https://t.co/LmDbPpbsSi! https://t.co/lrkAYNGh6k",fake
"Enero: tercera guerra mundial

Febrero: muere Kobe Bryant con su hija pequeña

Marzo: COVID-19 Declarado pandemia mundial 

Abril: posible choque de meteorito a la tierra

Mayo: no se si llegamos pero si pasa queres coger",fake
"Siendo totalmente justos, el título del Clausura 2020 se lo deberían de dar al equipo que era líder general en la jornada 6, (ahorita no recuerdo quien era) dado que por esas fechas todavía no se sabía de ningún caso de Covid-19 en México.

Sean justos @FMF @LigaBBVAMX",real
Mitos sobre el #Coronavirus 🤔| ¿Perros y gatos 🐶🐱pueden transmitir el #COVID19? #PrevenciónCoronavirus https://t.co/GIr6DcSj39,fake
¿Es posible que exista desabasto en algunos productos e incremento de precios? Esto es lo que dice la Alianza Nacional de Pequeños Comerciantes. 🧐⬇https://t.co/RVN2DEN9uT,fake
UDA suspenderá clases presenciales desde el lunes hasta el viernes 20 de marzo por Coronavirus. https://t.co/SbAknhuu3e #Copiapó #Atacama https://t.co/g8c1GywkD1,fake
"#Entérate | 🚨 El nuevo #coronavirus ha dejado más de 6 mil muertos en el mundo, conoce los detalles 👉 https://t.co/F87ByP6wRU",fake
"Para que la gente se anda llevando todo el papel por el coronavirus?

La gente en cuarentena: https://t.co/YsyotizdAp",fake
"#Nota |🦠😷👩‍⚕️ Autoridades de salud de Chimalhuacán emitieron una serie de recomendaciones ante el brote de coronavirus #covid-19.

Más información
👉https://t.co/bE58G0tCfM https://t.co/P5RK8QMpyG",real
"A ningún otro país le ha costado tanto. ¡¡La Ro no baja!! 
En China lo hicieron muy bien, en 2 semanas disminuyó la transmisibilidad un 55%. Si nosotros nos quedamos en casa, ¡𝗘𝗻 𝟮 𝘀𝗲𝗺𝗮𝗻𝗮𝘀 𝗽𝗼𝗱𝗿𝗶́𝗮𝗺𝗼𝘀 𝗲𝘀𝘁𝗮𝗿 𝗺𝗲𝗷𝗼𝗿! https://t.co/KMxxXEecYH",fake
"Marlon Claros, presidente de El Vencedor, quien aceptó pagar completo a los jugadores y no el 50% que dispuso la Primera División:
""Uno como dirigente no puede ser irresponsable que cuando le conviene acepta lo que dice el contrato del jugador"" https://t.co/hnJV5N1cRs",real
@ABCfilmaciones Cómo me gustaría ver a este tarzán de maceta hacer lo mismo en china. No le alcanzaría la vida para llorar.,fake
"A mi el coronavirus no me puede matar, yo ya me morí el día que murió Lexie Grey. https://t.co/yAJB40amKz",fake
🇰🇷 | URGENTE - CORONAVIRUS: Corea del Sur implementa los procedimientos de cuarentena más estrictos para los visitantes procedentes de todos los países europeos.,real
"🧠Hoy quiero que reflexionemos sobre un tema muy importante. La salud mental de todos y todas es un factor clave dentro de toda la crisis del #COVIDー19. Como médico psiquiatra quiero dejarles unos tips que nos pueden servir para hacer más llevadera esta crisis. 
Abro hilo 1/8 https://t.co/TaaeiFLlQD",fake
Puto corona,fake
"#15Mar Para comprender la velocidad en la que aumentan los contagios de #coronavirus en #Venezuela:

En solo 3 días #Venezuela registra 17 casos.

En 10 días #Colombia registra 34 casos. 

En 16 días #Ecuador registra 37 casos . -  @Gbastidas",fake
"Para los que se creen inmortales y siguen saliendo al parque sin hacer caso a la orden de permanecer en domicilio, estas son las radiografías de un chico de 28 años intubado en la UCI en mi hospital por #coronavirus. Pista: los pulmones es lo negro, lo blanco es neumonía https://t.co/HsWOj43EVv",fake
